PERMITTED_VALUE	LONG_NAME	DEFINITION
Day 29	Day 29	Day 29
Day 3	Day 3	Day 3
Day 3 of Midostaurin/placebo	Day 3 of Midostaurin/placebo	Day 3 of Midostaurin/placebo
Day 3, Dose 1	Day 3, Dose 1	Day 3, Dose 1
Day 3, Dose 2	Day 3, Dose 2	Day 3, Dose 2
Day 30	Day 30	Day 30 Timepoint
Day 31	Day 31	Day 31
Day 32	Day 32	The time for Earth to make a complete rotation on its axis; ordinarily divided into twenty-four hours, equal to 86 400 seconds. This also refers to a specific day.: A number with no fractional part, including the negative and positive numbers as well as zero.
Day 36 +12 hrs	Day 36 +12 hrs	Day 36 +12 hrs
Day 36 +2 hrs	Day 36 +2 hrs	Day 36 +2 hrs
Day 36 +20 hrs	Day 36 +20 hrs	Day 36 +20 hrs
Day 36 +24 hrs	Day 36 +24 hrs	Day 36 +24 hrs
Day 36 +30 min	Day 36 +30 min	Day 36 +30 min
Day 36 +4 hrs	Day 36 +4 hrs	Day 36 +4 hrs
Day 36 +45 min	Day 36 +45 min	Day 36 +45 min
Day 36 +60 min	Day 36 +60 min	Day 36 +60 min
Day 36 +8 hrs	Day 36 +8 hrs	Day 36 +8 hrs
Day 36 +90 min	Day 36 +90 min	Day 36 +90 min
Day 36 Pre-dose	Day 36 Pre-dose	Day 36 Pre-dose
Day 4	Day 4	Day 4
Day 42	Day 42	Day 42
Day 42 - Day 126	Day 42 - Day 126	Day 42 - Day 126
Day 43	Day 43	Day 43
Day 44	Day 44	Day 44
Day 5	Day 5	Day 5
Day 5, Dose 1	Day 5, Dose 1	Day 5, Dose 1
Day 5, Dose 2	Day 5, Dose 2	Day 5, Dose 2
Day 52	Day 52	Day 52
Day 57	Day 57	Day 57
Day 6	Day 6	Day 6
Day 6, Cycle 1	Day Six Cycle One	The time for Earth to make a complete rotation on its axis; ordinarily divided into twenty-four hours, equal to 86 400 seconds. This also refers to a specific day.: A natural number greater than 5 and less than 7 and the quantity that it denotes: the sum of five and one.: An event or sequence of events that constitute a round or succession of observable phenomena, recurring usually at regular or approximately regular time intervals and in the same sequence.: The smallest natural number and quantity it denotes: a single entity, unit, or object.
Day 63	Day 63	Day 63
Day 7	Day 7	Day 7 Timepoint
Day 8	Day 8	Day 8
Day 8 - 1 hr after infusion start	Day 8 - 1 hr after infusion start	Day 8 - 1 hr after infusion start
Day 8 - 30 min after starting dose	Day 8 - 30 min after starting dose	Day 8 - 30 min after starting dose
Day 8 - End of infusion	Day 8 - End of infusion	Day 8 - End of infusion
Day 8 - Predose	Day 8 - Predose	Day 8 - Predose
Day 84	Day 84	Day 84
Day 9	Day Nine	The time for Earth to make a complete rotation on its axis; ordinarily divided into twenty-four hours, equal to 86 400 seconds. This also refers to a specific day._A natural number greater than 8 and less than 10 and the quantity that it denotes: the sum of nine and one.
Day before surgery	Surgical Procedure Prior Day	A diagnostic or treatment procedure performed by manual and/or instrumental means, often involving an incision and the removal or replacement of a diseased organ or tissue; of or relating to or involving or used in surgery or requiring or amenable to treatment by surgery.: Earlier in time or order.: The time for Earth to make a complete rotation on its axis; ordinarily divided into twenty-four hours, equal to 86 400 seconds. This also refers to a specific day.
Days 8-36	Days 8-36	Days 8-36
Death	At the time of death	At the time of death
Diagnosis	Diagnosis	The investigation, analysis and recognition of the presence and nature of disease, condition, or injury from expressed signs and symptoms; also, the scientific determination of any kind; the concise results of such an investigation.
During preoperative systemic therapy	During preoperative systemic therapy	During preoperative systemic therapy
E	E	12 months following randomization
Early Termination	Early Termination	Early Termination
End Induction	End Induction	End Induction
End of Chemoradiation	End Chemoradiotherapy	The point or place at which something terminates in time, space, or extent.: Treatment that combines chemotherapy with radiation therapy.
End of Consolidation	End of Consolidation (prior to start of Post-Consolidation therapy)	End of Consolidation (prior to start of Post-Consolidation therapy)
End of Consolidation (prior to start of Post-Consolidation therapy)	End of Consolidation (prior to start of Post-Consolidation therapy)	End of Consolidation (prior to start of Post-Consolidation therapy)
End of Consolidation I	End of Consolidation I	End of Consolidation I
End of Consolidation II	End of Consolidation II	End of Consolidation II
End of Continuation	End of Continuation	End of Continuation
End of Crizotinib Continuation	End of Crizotinib Continuation therapy (Arm E)	End of Crizotinib Continuation therapy (Arm E)
End of Crizotinib Continuation Therapy (Arm E)	End of Crizotinib Continuation Therapy (Arm E)	End of Crizotinib Continuation Therapy (Arm E)
End of Induction (pre-Consolidation therapy)	End of Induction (pre-Consolidation therapy)	End of Induction (pre-Consolidation therapy)
End of Induction, Cycle 5	End of Induction, Cycle 5	End of Induction, Cycle 5
End of Lorlatinib Continuation Therapy (Arm E)	End of Lorlatinib Continuation Therapy (Arm E)	End of Lorlatinib Continuation Therapy (Arm E)
End of Post-Consolidation (Arms A and D)	End of Post-Consolidation (Arms A and D)	End of Post-Consolidation (Arms A and D)
End of Post-Consolidation Therapy	End of Post-Consolidation Therapy	End of Post-Consolidation Therapy
End of Treatment	end of treatment	the end of treatment.
End of cycle 6	End of Cycle 6	End of Cycle 6
End of infusion	End of Infusion	End of Infusion
End of randomized treatment	End of randomized treatment	End of randomized treatment
Every 12 weeks after the previous exam	Every 12 weeks after the previous exam	Every 12 weeks after the previous exam
Every 8 weeks	Every Eight Weeks	Every eight weeks.
Every 8 weeks after the previous exam	Every 8 weeks after the previous exam	Every 8 weeks after the previous exam
Extra Prescribed Dose	Supernumerary Prescription Dose	Exceeding the normal or usual number.: A doctor's order for medicine or another intervention.: A quantity of an agent (such as substance or energy) administered, taken, or absorbed at one time.
F	F	Any time through 10 years following randomization when a non-protocol specified LVEF assessment has been performed because the patient has signs or symptoms of CHF
Final	Final	Conclusive in a process or progression.
Final Visit	Final Visit	Conclusive in a process or progression.: The act of going to see some person or place or thing; it can cover a short or long period but refers to a non-permanent arrangement.
First dose of axitinib given, 2 hr after AM dose of axitinib (Arm C cross-over pt only)	First dose of axitinib given, 2 hr after AM dose of axitinib (Arm C cross-over pt only)	First dose of axitinib given, 2 hr after AM dose of axitinib (Arm C cross-over pt only)
First dose of axitinib given, 4 hr after AM dose of axitinib (Arm C cross-over pt only)	First dose of axitinib given, 4 hr after AM dose of axitinib (Arm C cross-over pt only)	First dose of axitinib given, 4 hr after AM dose of axitinib (Arm C cross-over pt only)
First dose of axitinib given, 6 hr after AM dose of axitinib (Arm C cross-over pt only)	First dose of axitinib given, 6 hr after AM dose of axitinib (Arm C cross-over pt only)	First dose of axitinib given, 6 hr after AM dose of axitinib (Arm C cross-over pt only)
First intravitreal injection	First Intravitreal Route of Administration	Preceding all others in time or space or degree._The administration of a drug within the vitreous body of the eye.
Five year follow-up	Five year follow-up	Five year follow-up
Follow up	Follow up	Follow up
Follow up safety	Safety Follow-up	The state of being certain that adverse effects will not be caused by some agent under defined conditions.: The process by which information about the health status of an individual is obtained after a study has officially closed; an activity that continues something that has already begun or that repeats something that has already been done.
Follow up safety #1	Follow up safety #1	Follow up safety #1
Follow up safety #2	Follow up safety #2	Follow up safety #2
Follow-up	Follow-up	The process by which information about the health status of an individual is obtained after a study has officially closed; an activity that continues something that has already begun or that repeats something that has already been done.
Follow-up 1	Follow-up One	The process by which information about the health status of an individual is obtained after a study has officially closed.: The smallest natural number and quantity it denotes: a single entity, unit, or object.
Follow-up 2	Follow-up Two	The process by which information about the health status of an individual is obtained after a study has officially closed; an activity that continues something that has already begun or that repeats something that has already been done.: A natural number greater than 1 and less than 3 and the quantity that it denotes: the sum of one and one.
Follow-up 3	Follow-up Three	The process by which information about the health status of an individual is obtained after a study has officially closed; an activity that continues something that has already begun or that repeats something that has already been done.: A natural number greater than 2 and less than 4 and the quantity that it denotes: the sum of two and one.
G	G	During Cardiac Report Follow-up if Time Points A, B, C, D, or E do not apply
Hour 1	Hour 1	Hour 1
Hour 3	Hour 3	Hour 3
Hour 5	Hour 5	Hour 5
Hour 6	Hour 6	Hour 6
Hour 7	Hour 7	Hour 7
Induction	Induction Therapy	The first choice of treatment for a particular type of cancer.
Induction Cycle 2	Induction Cycle 2	Induction Cycle 2
Induction Cycle 3	Induction Cycle 3	Induction Cycle 3
Last week of RT	Last week of radiation therapy	Last week of radiation therapy
Lead In - Day 7	Lead In - Day 7	Lead In - Day 7
Less than or equal to 3 weeks prior to registration	Less than or equal to 3 weeks prior to registration	Less than or equal to 3 weeks prior to registration
MRI Scan 1	First Magnetic Resonance Imaging Scan	Preceding all others in time or space or degree.: Imaging that uses radiofrequency waves and a strong magnetic field rather than x-rays to provide amazingly clear and detailed pictures of internal organs and tissues. The technique is valuable for the diagnosis of many pathologic conditions, including cancer, heart and vascular disease, stroke, and joint and musculoskeletal disorders. : The data or image obtained by gathering information with a sensing device.
MRI Scan 2	Second Magnetic Resonance Imaging Scan	Coming next after the first in position in space or time or degree or magnitude.: Imaging that uses radiofrequency waves and a strong magnetic field rather than x-rays to provide amazingly clear and detailed pictures of internal organs and tissues. The technique is valuable for the diagnosis of many pathologic conditions, including cancer, heart and vascular disease, stroke, and joint and musculoskeletal disorders. : The data or image obtained by gathering information with a sensing device.
Maintenance #1	Maintenance #1	Maintenance #1
Maintenance #10	Maintenance #10	Maintenance #10
Maintenance #11	Maintenance #11	Maintenance #11
Maintenance #12	Maintenance #12	Maintenance #12
Maintenance #13	Maintenance #13	Maintenance #13
Maintenance #14	Maintenance #14	Maintenance #14
Maintenance #15	Maintenance #15	Maintenance #15
Maintenance #16	Maintenance #16	Maintenance #16
Maintenance #17	Maintenance #17	Maintenance #17
Maintenance #18	Maintenance #18	Maintenance #18
Maintenance #19	Maintenance #19	Maintenance #19
Maintenance #2	Maintenance #2	Maintenance #2
Maintenance #20	Maintenance #20	Maintenance #20
Maintenance #3	Maintenance #3	Maintenance #3
Maintenance #4	Maintenance #4	Maintenance #4
Maintenance #5	Maintenance #5	Maintenance #5
Maintenance #6	Maintenance #6	Maintenance #6
Maintenance #7	Maintenance #7	Maintenance #7
Maintenance #8	Maintenance #8	Maintenance #8
Maintenance #9	Maintenance #9	Maintenance #9
Mastectomy	Mastectomy	Surgical removal of the breast.
Metastatic site resection	Metastatic Site Resection	A term referring to the clinical or pathologic observation of a tumor extension from its original site of growth to another anatomic site._A position in relation to its surroundings._The surgical removal of an organ or a part of an organ.
Month 12	Month 12	Month 12
Month 18	Month 18	Month 18
Month 24	Month 24	Month 24
Month 3	Month 3	Month 3
Month 6	Month 6	Month 6
Month 9	Month 9	Month 9
Morning of surgery	Surgical Procedure Morning	A diagnostic or treatment procedure performed by manual and/or instrumental means, often involving an incision and the removal or replacement of a diseased organ or tissue; of or relating to or involving or used in surgery or requiring or amenable to treatment by surgery.: The time period between dawn and noon.
Nadir	Nadir	Nadir
Neoadjuvant	Neoadjuvant Therapy	Treatment given as a first step to shrink a tumor before the main treatment, which is usually surgery, is given. Examples of neoadjuvant therapy include chemotherapy, radiation therapy, and hormone therapy. It is a type of induction therapy.
Observation	Observation	Observation; watching something and taking note of what happens.
Off Study	Off Study	Off Study
One year follow-up	One year follow-up	One year follow-up
Other	OTHER SPECIFY	Be specific about something; define clearly.: Different than the one(s) previously specified or mentioned.
Other	Other	Different than the one(s) previously specified or mentioned.
Other follow-ups	other followup	other followup
Other time point during first two years following study entry	Other time point during first two years following study entry	Other time point during first two years following study entry
POST-TEXT 1	POST-TEXT 1	POST-TEXT 1
POST-TEXT 2	POST-TEXT 2	POST-TEXT 2
POST-TEXT 3	POST-TEXT 3	POST-TEXT 3
POST-TEXT 4	POST-TEXT 4	POST-TEXT 4
POST-TEXT 5	POST-TEXT 5	POST-TEXT 5
PRETEXT	PRETEXT	PRETEXT
Post 6 hours	Post Six Hour	Happening at a time subsequent to a reference time; later in time or order._A natural number greater than 5 and less than 7 and the quantity that it denotes: the sum of five and one._A unit measure of time equal to 3,600 seconds or 60 minutes. It is approximately 1/24 of a median day.
Post ARM 1 or ARM 2 systemic therapy	Post ARM 1 or ARM 2 systemic therapy	Post ARM 1 or ARM 2 systemic therapy
Post Nadir 1	Post Nadir 1	Post Nadir 1
Post Nadir 2	Post Nadir 2	Post Nadir 2
Post chemotherapy	Post-Chemotherapy	No Value Exists
Post dose	Post dose	Post dose
Post infusion 2 hours	Post infusion 2 hours	Post infusion 2 hours
Post infusion 30 mins	Post infusion 30 mins	Post infusion 30 mins
Post infusion 60 mins	Post infusion 60 mins	Post infusion 60 mins
Post neoadjuvant chemotherapy	Post Neoadjuvant Therapy	Post; occuring after.: Treatment designed to be used as a first step toward shrinking the cancer and in evaluating response to drugs and other agents. Induction therapy is followed by additional therapy to eliminate whatever cancer remains.
Post operative (week 4-6)	Post operative (week 4-6)	Post operative (week 4-6)
Post scan	Post Scan	Happening at a time subsequent to a reference time; later in time or order.: The data or image obtained by gathering information with a sensing device.
Post treatment	Post Therapeutic Procedure	Happening at a time subsequent to a reference time; later in time or order.: An action or administration of therapeutic agents to produce an effect that is intended to alter the course of a pathologic process.
Post-IO Scan at progression (1)	Post Immuno-oncology Therapy Imaging Scan At Disease Progression	Happening at a time subsequent to a reference time; later in time or order.: Immunotherapy that focuses on mobilizing the patient's own immune cells to recognize and eliminate cancer cells.: Any technology or method that aids in the visualization of any biological process, cell, tissue or organ for use in screening, diagnosis, surgical procedures or therapy.: The data or image obtained by gathering information with a sensing device.: Used to indicate position, location, or state.: The worsening of a disease over time.
Post-Intervention	Post-Intervention	Post-Intervention
Post-MIBG Therapy (Arm B or C)	Post-MIBG Therapy (Arm B or C)	Post-MIBG Therapy (Arm B or C)
Post-adjuvant cycle 6	Post-adjuvant cycle 6	Post-adjuvant cycle 6
Post-consolidation	Post-consolidation	Post-consolidation
Post-surgery	POST-SURGERY	POST-SURGERY
Post-transplant	Post-transplant (Patients with > 5 MIBG positive metastatic sites)	Post-transplant (Patients with > 5 MIBG positive metastatic sites)
Post-transplant (Patients with > 5 MIBG positive metastatic sites)	Post-transplant (Patients with > 5 MIBG positive metastatic sites)	Post-transplant (Patients with > 5 MIBG positive metastatic sites)
Post-transplant (Patients with > 5 PET sites)	Post-transplant (Patients with > 5 PET positive metastatic sites)	Post-transplant (Patients with > 5 PET positive metastatic sites)
Post-transplant/pre-radiation (Patients with > 5 MIBG positive metastatic sites)	Post-transplant/pre-radiation (Patients with > 5 MIBG positive metastatic sites)	Post-transplant/pre-radiation (Patients with > 5 MIBG positive metastatic sites)
Post-treatment (immediately after LITT)	Post-Therapy Post Laser Interstitial Thermal Therapy	Occurring after a therapeutic procedure._Happening at a time subsequent to a reference time; later in time or order._A thermal ablation therapy in which neoplasms are heated with prolonged and moderate temperature elevations.  It results in coagulative necrosis in the heated tissue.
Post-treatment follow-up	Post-treatment follow-up	Post-treatment follow-up
Post-week 9	After week 9	After week 9
Postoperative Bevacizumab	Postoperative Bevacizumab	Postoperative Bevacizumab
Pre scan	Pre Scan	Earlier in time or order.: The data or image obtained by gathering information with a sensing device.
Pre-IO most recent Scan (-1)	Prior Immuno-oncology Therapy Most Recent Imaging Scan	Earlier in time or order.: Immunotherapy that focuses on mobilizing the patient's own immune cells to recognize and eliminate cancer cells.: Greatest in amount, extent, or degree; constituting a majority.: Near to or not long before the present.: Any technology or method that aids in the visualization of any biological process, cell, tissue or organ for use in screening, diagnosis, surgical procedures or therapy.: The data or image obtained by gathering information with a sensing device.
Pre-IO second most recent Scan (-2)	Prior Immuno-oncology Therapy Second Most Recent Imaging Scan	Earlier in time or order.: Immunotherapy that focuses on mobilizing the patient's own immune cells to recognize and eliminate cancer cells.: A suffix denoting the second person having the same complete name (first, middle, and family names).: Greatest in amount, extent, or degree; constituting a majority.: Near to or not long before the present.: Any technology or method that aids in the visualization of any biological process, cell, tissue or organ for use in screening, diagnosis, surgical procedures or therapy.: The data or image obtained by gathering information with a sensing device.
Pre-Infusion	Pre Infusion	Earlier in time or order.: A method of putting fluids, including drugs, into the bloodstream.
Pre-Intervention	Pre-intervention	Pre-intervention
Pre-Treatment (within 4 weeks prior to starting therapy)	Pre-Treatment (within 4 weeks prior to starting therapy)	Pre-Treatment (within 4 weeks prior to starting therapy)
Pre-adjuvant cycle 1	Pre-adjuvant cycle 1	Pre-adjuvant cycle 1
Pre-adjuvant cycle 4	Pre-adjuvant cycle 4	Pre-adjuvant cycle 4
Pre-consolidation	Pre-consolidation	Pre-consolidation
Pre-dose	Pre-dose Measure	A measure that relates specifically to the last value collected prior to the time of the first dose of a treatment.
Pre-dose	Pre-dose	No Value Exists
Pre-maintenance cycle 1	Pre-maintenance cycle 1	Pre-maintenance cycle 1
Pre-maintenance cycle 2	Pre-maintenance cycle 2	Pre-maintenance cycle 2
Pre-maintenance cycle 3	Pre-maintenance cycle 3	Pre-maintenance cycle 3
Pre-maintenance cycle 4	Pre-maintenance cycle 4	Pre-maintenance cycle 4
Pre-maintenance cycle 5	Pre-maintenance cycle 5	Pre-maintenance cycle 5
Pre-maintenance cycle 6	Pre-maintenance cycle 6	Pre-maintenance cycle 6
Pre-radiation	Pre-radiation	Earlier in time or order.: Treatment of a disease by means of exposure of the target or the whole body to radiation. Radiation therapy is often used as part of curative therapy and occasionally as a component of palliative treatment for cancer. Other uses include total body irradiation prior to transplantation.
Pre-surgery	PRE-SURGERY	PRE-SURGERY
Pre-treatment	Pre-Therapy	Occurring before a therapeutic procedure.
Preliminary progression	Preliminary progression	Preliminary progression
Preoperative Bevacizumab	Preoperative Bevacizumab	Preoperative Bevacizumab
Pretreatment	Pretreatment	Predating the onset of protocol treatment or intervention.
Pretreatment-Baseline	Pretreatment-Baseline	The time prior to the treatment of interest.: Baseline; an imaginary standard by which things are measured or compared.
Prior to Cycle 1 Continuation	Prior to Cycle 1 Continuation	Prior to Cycle 1 Continuation
Prior to Cycle 12	Prior To Cycle Twelve	Earlier in time or order._Used as a function word to indicate direction, purpose, or movement._An event or sequence of events that constitute a round or succession of observable phenomena, recurring usually at regular or approximately regular time intervals and in the same sequence._A natural number greater than 11 and less than 13 and the quantity that it denotes.
Prior to Cycle 3	Prior To Cycle Three	Earlier in time or order._Used as a function word to indicate direction, purpose, or movement._An event or sequence of events that constitute a round or succession of observable phenomena, recurring usually at regular or approximately regular time intervals and in the same sequence._A natural number greater than 2 and less than 4 and the quantity that it denotes: the sum of two and one.
Prior to Cycle 5	Prior To Cycle Five	Earlier in time or order._Used as a function word to indicate direction, purpose, or movement._An event or sequence of events that constitute a round or succession of observable phenomena, recurring usually at regular or approximately regular time intervals and in the same sequence._A natural number greater than 4 and less than 6 and the quantity that it denotes: the sum of four and one.
Prior to Cycle 7 Continuation	Prior to Cycle 7 Continuation	Prior to Cycle 7 Continuation
Prior to Cycle 8	Prior To Cycle Eight	Earlier in time or order._Used as a function word to indicate direction, purpose, or movement._An event or sequence of events that constitute a round or succession of observable phenomena, recurring usually at regular or approximately regular time intervals and in the same sequence._A natural number greater than 7 and less than 9 and the quantity that it denotes: the sum of seven and one.
Prior to best response	Prior To Best Disease Response	Earlier in time or order._Used as a function word to indicate direction, purpose, or movement._Having the most positive qualities._The pathologic and/or clinical changes that result from treatment. The changes may include eradication of detectable disease, stabilization of disease, or disease progression.
Prior to cycle 4	Prior to cycle 4	Prior to cycle 4
Prior to neoadjuvant chemotherapy	Prior To Neoadjuvant Therapy Chemotherapy	Earlier in time or order.: Used as a function word to indicate direction, purpose, or movement.: Treatment given as a first step to shrink a tumor before the main treatment, which is usually surgery, is given. Examples of neoadjuvant therapy include chemotherapy, radiation therapy, and hormone therapy. It is a type of induction therapy. : The use of synthetic or naturally-occurring chemicals for the treatment of diseases.  Although this term may be used to describe any therapy involving the use of chemical-based agents, it is most commonly used to refer to the variety of chemical-based agents employed to treat cancer.  Cancer chemotherapy works by arresting or killing the growth and spread of cancer cells.  Because cancer cells usually divide much faster than normal cells, they are often very sensitive to the inhibitory actions of chemotherapeutic agents.  Chemotherapy may also include agents that enhance immune function or alter hormonal activity. (NCI04)
Prior to post-Consolidation, Cycle 1	Prior to post-Consolidation, Cycle 1	Prior to post-Consolidation, Cycle 1
Prior to radiation	Prior To Radiation Therapy	Earlier in time or order._Used as a function word to indicate direction, purpose, or movement._Treatment of a disease by means of exposure of the target or the whole body to radiation. Radiation therapy is often used as part of curative therapy and occasionally as a component of palliative treatment for cancer. Other uses include total body irradiation prior to transplantation.
Prior to randomization	PRIOR TO RANDOMIZATION	Protocol timepoint before patient information is submitted for random assignment to a treatment arm
Prior to randomization (Baseline)	Prior to randomization (Baseline)	Prior to randomization (Baseline)
Prior to start of Triapine (3AP) infusion (IV)	Prior to start of Triapine (3AP) infusion (IV)	Prior to start of Triapine (3AP) infusion (IV)
Prior to start of study therapy	Prior to start of study therapy	Prior to start of study therapy
Prior to start of triapine (T) infusion	Prior to start of triapine (T) infusion	Prior to start of triapine (T) infusion
Prior to surgery	Before Surgery	Earlier in time or order._A diagnostic or treatment procedure performed by manual and/or instrumental means, often involving an incision and the removal or replacement of a diseased organ or tissue; of or relating to or involving or used in surgery or requiring or amenable to treatment by surgery.
Prior to the start of protocol therapy	Prior to the start of protocol therapy	Prior to the start of protocol therapy
Prior to treatment (between pre-registration and start of cycle 1)	Prior to treatment (between pre-registration and start of cycle 1)	Prior to treatment (between pre-registration and start of cycle 1)
Prior to when progressive disease is determined	Prior To Determine Progressive Disease	Earlier in time or order._Used as a function word to indicate direction, purpose, or movement._The establishment of a state or result._A clinical, pathologic, and/or molecular finding indicating that the course of a disease is worsening in terms of extent or severity.
Progression	Progression	Progression
Progression or 2 years	Progression or 2 years	Progression or 2 years
Progression prior to cross-over	Progression prior to cross-over	Progression prior to cross-over
Progression/End of active treatment	Progression/End of active treatment	Progression/End of active treatment
Radiation Therapy	Radiation Therapy	Treatment of a disease by means of exposure of the target or the whole body to radiation. Radiation therapy is often used as part of curative therapy and occasionally as a component of palliative treatment for cancer. Other uses include total body irradiation prior to transplantation.
Reconstruction	Reconstructive Surgery	Surgical restoration of function or form of a part.
Recurrence/Progression	Recurrence Progression	To come back or to return.: advancement in extent or severity.
Registration	Registration	Registration; the act of enrolling.
Registration: post-radiation	Registration: post-radiation	Registration: post-radiation
Relapse	Relapse	The return of a disease after a period of remission.
Relapse in Follow-up	Follow-up Recurrent Disease	The process by which information about the health status of an individual is obtained after a study has officially closed; an activity that continues something that has already begun or that repeats something that has already been done.: The return of a disease after a period of remission.
Relapse/Progression	Relapse/Progression	Relapse/Progression
Repeat MRI Scan 1	Repeat First Magnetic Resonance Imaging Scan	Make or do or perform again.: Preceding all others in time or space or degree.: Imaging that uses radiofrequency waves and a strong magnetic field rather than x-rays to provide amazingly clear and detailed pictures of internal organs and tissues. The technique is valuable for the diagnosis of many pathologic conditions, including cancer, heart and vascular disease, stroke, and joint and musculoskeletal disorders. : The data or image obtained by gathering information with a sensing device.
Repeat MRI Scan 2	Repeat Second Magnetic Resonance Imaging Scan	Make or do or perform again.: Coming next after the first in position in space or time or degree or magnitude.: Imaging that uses radiofrequency waves and a strong magnetic field rather than x-rays to provide amazingly clear and detailed pictures of internal organs and tissues. The technique is valuable for the diagnosis of many pathologic conditions, including cancer, heart and vascular disease, stroke, and joint and musculoskeletal disorders. : The data or image obtained by gathering information with a sensing device.
Retreat Cycle 1	Retreat Cycle 1	Retreat Cycle 1
Retreat Cycle 10	Retreat Cycle 10	Retreat Cycle 10
Retreat Cycle 11	Retreat Cycle 11	Retreat Cycle 11
Retreat Cycle 12	Retreat Cycle 12	Retreat Cycle 12
Retreat Cycle 13	Retreat Cycle 13	Retreat Cycle 13
Retreat Cycle 14	Retreat Cycle 14	Retreat Cycle 14
Retreat Cycle 15	Retreat Cycle 15	Retreat Cycle 15
Retreat Cycle 16	Retreat Cycle 16	Retreat Cycle 16
Retreat Cycle 17	Retreat Cycle 17	Retreat Cycle 17
Retreat Cycle 18	Retreat Cycle 18	Retreat Cycle 18
Retreat Cycle 19	Retreat Cycle 19	Retreat Cycle 19
Retreat Cycle 2	Retreat Cycle 2	Retreat Cycle 2
Retreat Cycle 20	Retreat Cycle 20	Retreat Cycle 20
Retreat Cycle 3	Retreat Cycle 3	Retreat Cycle 3
Retreat Cycle 4	Retreat Cycle 4	Retreat Cycle 4
Retreat Cycle 5	Retreat Cycle 5	Retreat Cycle 5
Retreat Cycle 6	Retreat Cycle 6	Retreat Cycle 6
Retreat Cycle 7	Retreat Cycle 7	Retreat Cycle 7
Retreat Cycle 8	Retreat Cycle 8	Retreat Cycle 8
Retreat Cycle 9	Retreat Cycle 9	Retreat Cycle 9
Rinse completed	Rinse Dosage Form Complete	A liquid used to cleanse by flushing.: To possess every necessary or normal part or component or step; having come or been brought to a conclusion.
Safety follow up	Safety Follow-up	The state of being certain that adverse effects will not be caused by some agent under defined conditions.: The process by which information about the health status of an individual is obtained after a study has officially closed; an activity that continues something that has already begun or that repeats something that has already been done.
Screening	Screening	A systematic examination or assessment.
Start of Post-Consolidation	Start of Post-Consolidation	Start of Post-Consolidation
Steroid Prephase	Steroid Prephase	Steroid Prephase
Study entry (+/- 2 weeks)	Study entry (+/- 2 weeks)	Study entry (+/- 2 weeks)
Study entry (+/- 4 weeks)	Study entry (+/- 4 weeks)	Study entry (+/- 4 weeks)
Surgery	Surgical Procedure	A diagnostic or treatment procedure performed by manual and/or instrumental means, often involving an incision and the removal or replacement of a diseased organ or tissue; of or relating to or involving or used in surgery or requiring or amenable to treatment by surgery.
Telephone Contact	Communication Contact Telephone	A channel for communication between groups.: Electronic equipment that converts sound into electrical signals that can be transmitted over distances and then converts received signals back into sounds.
Third week of RT	Third week of radiation therapy	Third week of radiation therapy
Three months from baseline	Three months from baseline	Three months from baseline
Time 0 prior to infusion	Time 0 prior to infusion	Time 0 prior to infusion
Time of evidence of metastatic disease	At Evidence Metastatic Lesion	Used to indicate position, location, or state._Knowledge on which to base belief._A tumor arising at a location distant to the primary lesion.
Time of randomization	RANDOMIZATION	The allocation of individuals to groups by chance, especially in order to control the variables in an experiment.
Time of surgery	Surgery	A specialty in which manual or operative procedures are used in the treatment of disease, injuries, or deformities.
Trastuzumab	Trastuzumab	A humanized recombinant monoclonal antibody directed against the HER2- receptor protein.  Trastuzumab binds to the extracellular domain of the growth factor protein HER2, thereby inhibiting proliferation of HER2 overexpressing tumor cells.  Binding with HER2 protein also initiates an antibody-dependent cell cytotoxicity.(NCI)
Treatment	Treatment	Treatment
Treatment beyond progression	Therapeutic Procedure Post Disease Progression	An action or administration of therapeutic agents to produce an effect that is intended to alter or stop a pathologic process.: Happening at a time subsequent to a reference time; later in time or order.: The worsening of a disease over time.
Treatment monitoring	Treat Monitoring	Subject to a process with the aim of readying for some purpose, improving, or remedying a condition.: The act of observing something (and sometimes keeping a record of it).
Twelve months from baseline	Twelve months from baseline	Twelve months from baseline
Twenty-four months from baseline	Twenty-four months from baseline	Twenty-four months from baseline
Unequivocal progression	Unequivocal progression	Unequivocal progression
Unscheduled	Unscheduled	Unscheduled
Visit 1	Health Care Visit 1	A number with no fractional part.::1: A visit by a patient or study participant to a medical professional.
Visit 1 During dose infusion	Patient Visit 1 During Dose Infusion Procedure	A visit by a patient or study participant to a medical professional.: A number with no fractional part, including the negative and positive numbers as well as zero.::1: At some point in a given period of time.: A quantity of an agent (such as substance or energy) administered, taken, or absorbed at one time.: Any form of treatment that is introduced into the body via a blood vessel, a muscle, or the spinal cord.
Visit 1 Post-dose	Post Treatment Epoch Dose 1 Patient Visit	Happening at a time subsequent to a reference time; later in time or order.: A period in a clinical study during which subjects receive therapeutic treatment.: A quantity of an agent (such as substance or energy) administered, taken, or absorbed at one time.: A number with no fractional part, including the negative and positive numbers as well as zero.::1: A visit by a patient or study participant to a medical professional.
